Initial Year,Player,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Blocks,Clean Sheets,Clearances,Corners Taken,Crosses,Errors Leading To Goal,Goal Kicks,Goals Conceded,Goals From Freekick,Goals From Header,Goals From Penalty,Goals,Headed Clearances,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Minutes Played,Offsides,Own Goals,Passes,Penalties Conceded,Penalties Saved,Punches,Red Cards,Saves,Shots On Target,Shots,Substituted Off,Substituted On,Sweeper Clearances,Tackles,Through Balls,Throw Outs,Touches,Yellow Cards
2019,1168,0.0,0.0,0.0,0.0,0.005053990588902,0.0,0.023585289414876,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369327059268,0.0,0.0,0.015161971766706,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3216,0.0,0.0,0.0,0.0,0.0047170578829752,0.0,0.0222375585911688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124665101192916,0.0,0.0,0.0114557120015112,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208898277674616,0.0,0.0,0.0,0.0013477308237072
2019,505,0.0,0.0,0.0,0.0,0.0043801251770484,0.0,0.0256068856504368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124665101192916,0.0,0.0,0.0,0.0006738654118536,2967.9517078916374,0.0,0.0006738654118536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,534,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.0222375585911688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094341157659504,0.0,0.0,0.0,0.0003369327059268,2967.9517078916374,0.0,0.0003369327059268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030323943533412
2019,4982,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.023585289414876,0.005053990588902,0.0387472611815821,0.0003369327059268,0.0,0.0,0.0,0.0,0.0,0.0,0.0114557120015112,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205528950615348,0.0,0.0,0.0,0.001684663529634
2019,5448,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1312,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369327059268,0.0,0.0010107981177804,0.0,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001684663529634,0.0,0.0,0.0013477308237072
2019,3983,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.0343671360045337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018531298825974,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0003369327059268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4020,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128034428252184,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030323943533412,0.0,0.0,0.0171835680022668,0.0013477308237072,0.0,0.0,0.001684663529634
2019,728,0.0,0.0,0.0,0.0,0.0040431924711216,0.0,0.028639280003778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138142409429988,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0003369327059268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
