Initial Year,Rank,Player,Club,Nationality,Stat
2021,27,John Ruddy,-,England,2
2021,27,Zack Steffen,Manchester City,United States,2
2021,32,Asmir Begovic,-,Bosnia & Herzegovina,1
2021,32,Willy Caballero,-,Argentina,1
2021,32,Wayne Hennessey,Burnley,Wales,1
2021,35,Bernd Leno,-,Germany,0
2020,1,Nick Pope,Burnley,England,28
2020,2,Alisson Becker,Liverpool,Brazil,25
2020,3,Ederson,Manchester City,Brazil,16
2020,4,Sam Johnstone,West Bromwich Albion,England,14
2020,5,Aaron Ramsdale,-,England,13
2020,6,Bernd Leno,-,Germany,12
2020,6,Emiliano Martínez,Aston Villa,Argentina,12
2020,8,Illan Meslier,-,France,11
2020,9,David de Gea,-,Spain,10
2020,9,Dean Henderson,-,England,10
2020,9,Jordan Pickford,Everton,England,10
2020,12,Édouard Mendy,-,Senegal,9
2020,13,Vicente Guaita,-,Spain,8
2020,13,Alex McCarthy,-,England,8
2020,15,Robert Sánchez,-,Spain,7
2020,16,Alphonse Areola,Fulham,France,5
2020,16,Fraser Forster,-,England,5
2020,16,Hugo Lloris,Tottenham Hotspur,France,5
2020,19,Rui Patrício,-,Portugal,4
2020,19,Martin Dúbravka,Newcastle United,Slovakia,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,19,Lukasz Fabianski,West Ham United,Poland,4
2020,19,Adrián,Liverpool,Spain,4
2020,19,Kasper Schmeichel,-,Denmark,4
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,24,Mathew Ryan,-,Australia,3
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,25,Karl Darlow,-,England,2
2020,25,Bailey Peacock-Farrell,-,Northern Ireland,2
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2020,27,Kepa,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Marek Rodák,Fulham,Slovakia,1
2019,1,Ben Foster,-,England,20
2019,2,Alisson Becker,Liverpool,Brazil,19
2019,2,Ederson,Manchester City,Brazil,19
2019,4,Nick Pope,Burnley,England,18
2019,5,Bernd Leno,-,Germany,15
2019,6,Aaron Ramsdale,-,England,13
2019,7,Kepa,-,Spain,12
2019,8,Vicente Guaita,-,Spain,10
2019,8,Tim Krul,-,Netherlands,10
2019,10,Martin Dúbravka,Newcastle United,Slovakia,9
2019,10,Paulo Gazzaniga,-,Argentina,9
2019,10,Jordan Pickford,Everton,England,9
2019,10,Adrián,Liverpool,Spain,9
2019,14,Dean Henderson,-,England,8
2019,14,Mathew Ryan,-,Australia,8
2019,14,Kasper Schmeichel,-,Denmark,8
2019,17,Tom Heaton,-,England,7
2019,18,Angus Gunn,-,Scotland,6
2019,18,Alex McCarthy,-,England,6
2019,18,Pepe Reina,-,Spain,6
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,21,Lukasz Fabianski,West Ham United,Poland,4
2019,22,David de Gea,-,Spain,3
2019,22,Rui Patrício,-,Portugal,3
2019,22,David de Gea,-,Spain,3
2019,22,Rui Patrício,-,Portugal,3
