Match ID,Average Assists per Min Home,Average Assists per Min Away,Average Blocks per Min Home,Average Blocks per Min Away,Average Clearances per Min Home,Average Clearances per Min Away,Average Crosses per Min Home,Average Crosses per Min Away,Average Errors Leading To Goal per Min Home,Average Errors Leading To Goal per Min Away,Average Goals Conceded per Min Home,Average Goals Conceded per Min Away,Average Goals From Freekick per Min Home,Average Goals From Freekick per Min Away,Average Goals From Header per Min Home,Average Goals From Header per Min Away,Average Goals From Penalty per Min Home,Average Goals From Penalty per Min Away,Average Goals per Min Home,Average Goals per Min Away,Average Interceptions per Min Home,Average Interceptions per Min Away,Average Last Man Tackles per Min Home,Average Last Man Tackles per Min Away,Average Offsides per Min Home,Average Offsides per Min Away,Average Own Goals per Min Home,Average Own Goals per Min Away,Average Passes per Min Home,Average Passes per Min Away,Average Penalties Conceded per Min Home,Average Penalties Conceded per Min Away,Average Penalties Saved per Min Home,Average Penalties Saved per Min Away,Average Saves per Min Home,Average Saves per Min Away,Average Shots On Target per Min Home,Average Shots On Target per Min Away,Average Shots per Min Home,Average Shots per Min Away,Average Tackles per Min Home,Average Tackles per Min Away,Average Through Balls per Min Home,Average Through Balls per Min Away,Average Touches per Min Home,Average Touches per Min Away,Result,Home Goal Difference
2120,0.000368949,0.000786953,0.001514578,0.000583561,0.009795366,0.006184833,0.00484972,0.009382262,7.029279480853889e-05,7.48739346504e-05,0.001204704,0.000486681,0,1.9270050487527777e-05,5.3681281815127776e-05,0.000135199,0.000124482,0.000131029,0.000818858,0.001019574,0.004832174,0.003029684,1.815541031227222e-05,0,0.000966267,0.001223535,9.032669531172222e-05,0,0.14554416789746402,0.2231249149304047,5.400926998026111e-05,5.906383991209444e-05,3.52733686067e-05,1.87184836626e-05,0.0020293,0.00061771,0.001919913,0.003158081,0.004748041,0.007765091,0.00610912,0.004054965,0.000373077,0.00190281,0.17172375360573083,0.313072298,-1,-1
2121,0.000187185,0.000112311,0.001264464,0.001363645,0.010095930422060518,0.010181937606654966,0.009166998,0.005334496,9.615958811996111e-05,0.000108241,0.00097914,0.00116987,0,0,0.000217561,0.000131029,7.285651182985555e-05,0,0.000583861,0.000239464,0.004889857,0.002700574,1.87184836626e-05,0,0.000749863,0.000280777,0,5.7876833239677776e-05,0.021097458,0.12229862973797283,3.74369673252e-05,0.000129424,0,1.6683350016683334e-05,0.001766709,0.002026826,0.001400975,0.000205903,0.004292929,0.001405777,0.005134131,0.004148314,0.000131029,9.3592418313e-05,0.069911516,0.11489915436523582,-1,-2
2122,0,0.000362532,0,0.001271124,0,0.00682784,0,0.013342460513730378,0,3.2488628979855556e-05,0,0.000779727,0,0,0,5.61554509878e-05,0,5.61554509878e-05,0,0.000395835,0,0.003368423,0,1.87184836626e-05,0,0.000997574,0,0,0,0.16421125282470492,0,0.000114997,0,1.6244314489927778e-05,0,0.001234568,0,0.002051304,0,0.005011692,0,0.004804164,0,0.000696861,0,0.23363627673570284,0,0
2123,0,0.000112311,0,0.00103435,0,0.010425298829740455,0,0.005050701,0,0.000151612,0,0.000467962,0,3.921112680371111e-05,0,0.000187185,0,5.970376994482222e-05,0,0.000444718,0,0.004642167,0,5.780937493632778e-05,9.3592418313e-05,0.000892188,0,0,0,0.090151011,0,0.000152242,0,0,0,0.00099208,0,0.001104211,0,0.003491744,0,0.004553348,0,0.000313689,0,0.15018591047724897,1,3
2124,0.000187871,0,0.001240557,0,0.006364414,0,0.003556512,0,5.6736220144744434e-05,0,0.00113973,0,0,0,0.000113984,0,9.410703419587779e-05,0,0.000357367,0,0.00195975,0,0,0,0.001014057,0,3.5528403708477776e-05,0,0,0,7.412426810669999e-05,0,1.6638381418255553e-05,0,0.002025725,0,0.000695672,0,0.00167315,0,0,0,9.445011145112778e-05,0,0,0,0,0
2125,0.000668364,0.000528824,0.001140034,0.001635118,0.010613380236694222,0.010477145096680972,0.008629221,0.010239833629098562,5.507365162855e-05,2.0830729492144445e-05,0.000511464,0.000979044,1.7005067510116665e-05,1.87184836626e-05,0.000182071,0.000150814,1.7005067510116665e-05,7.750743134043333e-05,0.000887288,0.000580683,0.006027786,0.004668687,5.61554509878e-05,3.648427403838889e-05,0.001454514,0.000969603,1.87184836626e-05,0,0.14953880987622664,0.065564066,9.617591147384443e-05,5.601742068826111e-05,1.87184836626e-05,0,0.001492299,0.002353872,0.003208013,0.001326037,0.008210464,0.003829487,0.00717739,0.005886087,0.001775343,0.000232522,0.1959970816795879,0.14265560470168573,1,2
2126,0.000351465,0.000425842,0.000263118,0.001868825,0.006714145,0.016044516622351915,0.007924888,0.009079465,3.74369673252e-05,0.000120012,0.00072345,0.001513526,5.813460821453888e-05,5.2105235799350006e-05,2.0621958261155557e-05,7.379213529115e-05,0,0.000108186,0.000460664,0.000243833,0.004030997,0.005443502,0,7.472254159824444e-05,7.48739346504e-05,0.000205903,0,1.87184836626e-05,0.12004976757031738,0.13767706536835334,1.7146776406033335e-05,9.138414148353332e-05,1.87184836626e-05,3.74369673252e-05,0.001746254,0.00365974,0.000891506,0.00119032,0.002614555,0.002909793,0.003399121,0.004987058,0.000780683,0.000268627,0.16446853017937096,0.22097729673068722,1,2
2127,0.000318214,0.000107675,0.001706928,0.001738028,0.002491357,0.010884519446979862,0.010313141555713116,0.005964981,3.543448912051667e-05,0.000143406,0.00082846,0.000786176,1.87184836626e-05,3.74369673252e-05,0.00020295,7.507764293451112e-05,1.87184836626e-05,5.61554509878e-05,0.000539528,0.000319436,0.002944123,0.005657934,0,3.657568910449444e-05,0.000668826,0.000280777,0,3.52733686067e-05,0.073858553,0.088451389,1.8667861409794443e-05,1.763668430335e-05,0,0,0.00188434,0.002021596,0.001285121,0.000845999,0.004909946,0.003115417,0.006557093,0.007220261,0.000582901,0.000738211,0.10360133373237296,0.077647992,0,0
2128,0.000516049,0.000684928,0.000467962,0.00062677,0.006905095,0.008154017,0.006858073,0.008461208,0.000112222,7.408816743568333e-05,0.000224622,0.000738384,0,3.4474437204811114e-05,0.000166546,0.000240487,0.000123105,3.4474437204811114e-05,0.000771271,0.00098161,0.002364874,0.005436906,3.74369673252e-05,9.455355050429444e-05,0.000718423,0.001521855,0,1.7932716447883334e-05,0.20342823243472366,0.25358463159684386,7.374188832732222e-05,0.000148039,0,0,0.00037437,0.002137136,0.00253555,0.002337698,0.006222391,0.006317322,0.00558604,0.007262556,0.00044375,0.002094249,0.26671434163471186,0.3072101914055048,1,4
2129,0.00072811,0.000112311,0.001161008,0.001771217,0.010586289343528156,0.011191693611962995,0.005462414,0.007810764,0.000114915,3.561560550747777e-05,0.000481142,0.000846561,0,0,0.000110464,3.74369673252e-05,0.000130568,7.48739346504e-05,0.001273987,0.000299496,0.000805431,0.004779904,0,3.6852773171177776e-05,0.001080594,0.000823613,0,7.428974049637778e-05,0.19465705113594708,0.084381831,1.87184836626e-05,9.14365169024111e-05,0,1.763668430335e-05,0.00157307,0.002486772,0.003558881,0.000786176,0.007607954,0.002732899,0.003023379,0.0049055,0.000606769,0.000180898,0.2530728613880162,0.13713326848886387,0,0
